Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding 
Startup_1,2009,Canada,Healthcare,Series A,269.0
Startup_2,2004,UK,Healthcare,IPO,40.0
Startup_3,2018,USA,Healthcare,Seed,399.0
Startup_4,2014,France,Tech,Seed,404.0
Startup_5,2006,Japan,Energy,Series C,419.0
Startup_6,2017,UK,FinTech,Series B,468.0
Startup_7,2014,China,Gaming,Series C,166.0
Startup_8,2018,Australia,EdTech,Series B,261.0
Startup_9,2006,Canada,AI,Series B,172.0
Startup_10,2004,USA,E-commerce,Series A,113.0
Startup_11,2011,Brazil,Gaming,Series B,42.0
Startup_12,2020,UK,Energy,Series A,346.0
Startup_13,2002,France,EdTech,IPO,134.0
Startup_14,2022,Canada,Gaming,Series A,71.0
Startup_15,2004,Australia,EdTech,Series B,290.0
Startup_16,2017,India,Gaming,Series C,177.0
Startup_17,2017,France,E-commerce,IPO,183.0
Startup_18,2010,India,FinTech,Series C,427.0
Startup_19,2020,India,Energy,Series C,267.0
Startup_20,2008,Japan,Gaming,IPO,156.0
Startup_21,2001,Australia,FinTech,Series A,441.0
Startup_22,2011,France,AI,Series C,344.0
Startup_23,2016,UK,FinTech,Series C,173.0
Startup_24,2009,USA,AI,Seed,292.0
Startup_25,2001,Brazil,E-commerce,Seed,94.0
Startup_26,2019,Australia,Gaming,Seed,15.0
Startup_27,2009,Australia,EdTech,Series B,281.0
Startup_28,2007,China,AI,Series B,318.0
Startup_29,2015,Germany,Gaming,Seed,54.0
Startup_30,2018,France,Energy,Seed,170.0
Startup_31,2007,Brazil,Gaming,Series A,243.0
Startup_32,2016,Canada,FinTech,Series A,296.0
Startup_33,2021,Germany,Energy,Series B,355.0
Startup_34,2016,Australia,FinTech,Series B,309.0
Startup_35,2009,Germany,EdTech,Series A,38.0
Startup_36,2010,Canada,E-commerce,Seed,251.0
Startup_37,2021,Australia,EdTech,Series A,262.0
Startup_38,2016,UK,EdTech,Series C,493.0
Startup_39,2006,China,Tech,Series B,466.0
Startup_40,2014,France,Gaming,Series C,309.0
Startup_41,2001,UK,Tech,Series C,85.0
Startup_42,2002,China,Healthcare,Series A,495.0
Startup_43,2001,Brazil,Energy,IPO,301.0
Startup_44,2011,UK,Gaming,Series C,356.0
Startup_45,2011,Brazil,AI,Series B,321.0
